settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Хомутяновка,Железнодорожная улица,68,3,5.2534,2.9897,5.004,5.25,0.0,False,False,,4.9105,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,69,3,5.1541,3.0336,4.926,5.1507,0.0,False,False,,4.8327,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,70,3,5.1792,3.0085,4.943,5.1757,0.0,False,False,,4.8502,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,71,3,5.1417,3.046,4.917,5.1383,0.0,False,False,,4.824,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,72,3,5.1631,3.0246,4.932,5.1597,0.0,False,False,,4.839,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,73,3,5.1251,3.0626,4.905,5.1217,0.0,False,False,,4.8124,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,74,3,5.1461,3.0416,4.92,5.1427,0.0,False,False,,4.8271,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,75,3,5.1094,3.1953,4.912,5.1059,0.0,False,False,,4.8188,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,77,3,5.0944,3.1803,4.897,5.091,0.0,False,False,,4.8039,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,80,3,5.0859,3.1718,4.888,5.0825,0.0,False,False,,4.7954,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,85,3,5.0226,3.2831,4.851,5.0192,0.0,False,False,,4.7583,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,86,3,5.0224,3.2829,4.851,5.019,0.0,False,False,,4.7581,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,87,3,5.0045,3.265,4.833,5.0011,0.0,False,False,,4.7402,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,88,3,5.0052,3.2657,4.834,5.0018,0.0,False,False,,4.7409,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,89,3,4.9856,3.2461,4.814,4.9822,0.0,False,False,,4.7213,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,90,3,4.9833,3.2438,4.812,4.9799,0.0,False,False,,4.719,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,93,3,4.8727,3.426,4.791,4.8692,0.0,False,False,,4.6523,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,95,3,4.6572,3.6273,4.563,4.6537,0.0,False,False,,4.4993,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,97а,3,4.5702,3.6545,4.542,4.5667,0.0,False,False,,4.4294,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,98,3,4.7993,3.3906,4.721,4.7959,0.0,False,False,,4.5846,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,100,3,4.8288,3.5452,4.763,4.8252,0.0,False,False,,4.6327,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,102,3,4.6443,3.6144,4.604,4.6408,0.0,False,False,,4.4864,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,104,3,4.6275,3.5976,4.587,4.624,0.0,False,False,,4.4696,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожная улица,116,3,4.5334,3.7445,4.517,4.5299,0.0,False,False,,4.4116,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожный тупик,2,3,5.1385,3.1024,4.923,5.135,0.0,False,False,,4.8296,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожный тупик,5,3,5.179,3.1429,4.963,5.1754,0.0,False,False,,4.87,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожный тупик,76,3,5.1298,3.0937,4.914,5.1264,0.0,False,False,,4.821,2,zone_move_3->2
Бендеры,Хомутяновка,Железнодорожный тупик,78,3,5.1322,3.0961,4.916,5.1287,0.0,False,False,,4.8233,2,zone_move_3->2
Бендеры,Хомутяновка,Кагульская улица,2,3,5.6821,3.2612,5.409,5.6778,0.0,False,False,,5.3146,2,zone_move_3->2
Бендеры,Хомутяновка,Кагульская улица,4,4,5.975,3.0396,5.624,5.9707,0.0,False,False,,5.5303,2,zone_move_4->2
Бендеры,Хомутяновка,Кагульская улица,5,3,5.802,3.126,5.49,5.7977,0.0,False,False,,5.3962,2,zone_move_3->2
Бендеры,Хомутяновка,Кагульская улица,7,3,5.8226,3.1055,5.505,5.8182,0.0,False,False,,5.4105,2,zone_move_3->2
Бендеры,Хомутяновка,Кагульская улица,9,3,5.8427,3.0854,5.519,5.8383,0.0,False,False,,5.4246,2,zone_move_3->2
Бендеры,Хомутяновка,Кагульская улица,11,3,5.8659,3.0622,5.535,5.8615,0.0,False,False,,5.4408,2,zone_move_3->2
Бендеры,Хомутяновка,Кагульская улица,13,3,5.8941,3.034,5.555,5.8897,0.0,False,False,,5.4606,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,1,3,4.7145,3.6846,4.674,4.7107,0.0,False,False,,4.5563,2,zone_move_3->2
Бендеры,Хомутяновка,Киевская улица,3,3,4.6846,3.6548,4.645,4.6809,0.0,False,False,,4.5265,2,zone_move_3->2
