settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Парканы,Парканы,Комсомольская улица,53,3,4.1327,4.864,4.168,1.597,2.5292,True,False,"[29.491402, 46.832239]",5.9217,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,54,3,4.1197,4.851,4.156,1.597,2.5161,True,False,"[29.491402, 46.832239]",5.8999,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,55,3,4.1501,4.8814,4.186,1.597,2.5466,True,False,"[29.491402, 46.832239]",5.9507,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,56,3,4.1433,4.8745,4.179,1.597,2.5397,True,False,"[29.491402, 46.832239]",5.9392,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,57,3,4.1708,4.9021,4.206,1.597,2.5672,True,False,"[29.491402, 46.832239]",5.9851,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,58,3,4.1665,4.8978,4.202,1.597,2.5629,True,False,"[29.491402, 46.832239]",5.9779,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,60,3,4.1887,4.92,4.224,1.597,2.5851,True,False,"[29.491402, 46.832239]",6.0149,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,61,3,4.1925,4.9237,4.228,1.597,2.5889,True,False,"[29.491402, 46.832239]",6.0212,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,63,3,4.2139,4.9452,4.25,1.597,2.6104,True,False,"[29.491402, 46.832239]",6.0571,2,zone_move_3->2
Парканы,Парканы,Комсомольская улица,64,3,4.232,4.9633,4.267,1.597,2.6284,True,False,"[29.491402, 46.832239]",6.0871,3,
Парканы,Парканы,Комсомольская улица,65,3,4.2369,4.9682,4.273,1.597,2.6333,True,False,"[29.491402, 46.832239]",6.0952,3,
Парканы,Парканы,Комсомольская улица,66,3,4.2512,4.9825,4.287,1.597,2.6476,True,False,"[29.491402, 46.832239]",6.1191,3,
Парканы,Парканы,Комсомольская улица,67,3,4.2581,4.9893,4.294,1.597,2.6545,True,False,"[29.491402, 46.832239]",6.1306,3,
Парканы,Парканы,Комсомольская улица,68,3,4.2724,5.0037,4.308,1.597,2.6688,True,False,"[29.491402, 46.832239]",6.1544,3,
Парканы,Парканы,Комсомольская улица,69,3,4.284,5.0153,4.32,1.597,2.6804,True,False,"[29.491402, 46.832239]",6.1737,3,
Парканы,Парканы,Комсомольская улица,71,3,4.307,5.0383,4.342,1.597,2.7034,True,False,"[29.491402, 46.832239]",6.2121,3,
Парканы,Парканы,Комсомольская улица,72,3,4.311,5.0423,4.346,1.597,2.7075,True,False,"[29.491402, 46.832239]",6.2189,3,
Парканы,Парканы,Комсомольская улица,73,3,4.3317,5.063,4.368,1.597,2.7281,True,False,"[29.491402, 46.832239]",6.2532,3,
Парканы,Парканы,Комсомольская улица,74,3,4.3306,5.0619,4.366,1.597,2.7271,True,False,"[29.491402, 46.832239]",6.2516,3,
Парканы,Парканы,Комсомольская улица,75,3,4.348,5.0793,4.383,1.597,2.7444,True,False,"[29.491402, 46.832239]",6.2804,3,
Парканы,Парканы,Комсомольская улица,76,3,4.3544,5.0857,4.389,1.597,2.7508,True,False,"[29.491402, 46.832239]",6.2911,3,
Парканы,Парканы,Комсомольская улица,77,3,4.3686,5.0999,4.404,1.597,2.765,True,False,"[29.491402, 46.832239]",6.3147,3,
Парканы,Парканы,Комсомольская улица,78,3,4.3726,5.1039,4.409,1.597,2.7691,True,False,"[29.491402, 46.832239]",6.3216,3,
Парканы,Парканы,Комсомольская улица,80,3,4.3987,5.13,4.434,1.597,2.7951,True,False,"[29.491402, 46.832239]",6.3649,3,
Парканы,Парканы,Комсомольская улица,82,3,4.4225,5.1538,4.458,1.597,2.8189,True,False,"[29.491402, 46.832239]",6.4046,3,
Парканы,Парканы,Комсомольская улица,84,3,4.4495,5.1808,4.485,1.597,2.8459,True,False,"[29.491402, 46.832239]",6.4496,3,
Парканы,Парканы,Комсомольская улица,86,3,4.4779,5.2091,4.513,1.597,2.8742,True,False,"[29.491402, 46.832239]",6.4967,3,
Парканы,Парканы,Комсомольская улица,87,3,4.4636,5.1949,4.499,1.597,2.86,True,False,"[29.491402, 46.832239]",6.4731,3,
Парканы,Парканы,Комсомольская улица,88,3,4.5029,5.2342,4.538,1.597,2.8992,True,False,"[29.491402, 46.832239]",6.5384,3,
Парканы,Парканы,Комсомольская улица,89,3,4.4806,5.2119,4.516,1.597,2.877,True,False,"[29.491402, 46.832239]",6.5014,3,
Парканы,Парканы,Комсомольская улица,90,3,4.5265,5.2578,4.562,1.597,2.9229,True,False,"[29.491402, 46.832239]",6.5779,3,
Парканы,Парканы,Комсомольская улица,92,3,4.5591,5.2904,4.595,1.597,2.9554,True,False,"[29.491402, 46.832239]",6.6321,3,
Парканы,Парканы,Комсомольская улица,93,3,4.5076,5.2389,4.543,1.597,2.904,True,False,"[29.491402, 46.832239]",6.5464,3,
Парканы,Парканы,Комсомольская улица,94,3,4.5961,5.3274,4.631,1.597,2.9925,True,False,"[29.491402, 46.832239]",6.6939,3,
Парканы,Парканы,Комсомольская улица,95,3,4.523,5.2543,4.558,1.597,2.9193,True,False,"[29.491402, 46.832239]",6.5719,3,
Парканы,Парканы,Комсомольская улица,97,3,4.5407,5.272,4.576,1.597,2.9371,True,False,"[29.491402, 46.832239]",6.6016,3,
Парканы,Парканы,Комсомольская улица,99,3,4.5506,5.2819,4.586,1.597,2.9469,True,False,"[29.491402, 46.832239]",6.6179,3,
Парканы,Парканы,Комсомольская улица,100,3,4.819,5.5503,4.855,1.597,3.2155,True,False,"[29.491402, 46.832239]",7.0656,3,
Парканы,Парканы,Комсомольская улица,101,3,4.571,5.3023,4.607,1.597,2.9673,True,False,"[29.491402, 46.832239]",6.6519,3,
Парканы,Парканы,Комсомольская улица,102,3,4.837,5.5683,4.872,1.597,3.2335,True,False,"[29.491402, 46.832239]",7.0956,3,
Парканы,Парканы,Комсомольская улица,103,3,4.5878,5.319,4.623,1.597,2.9841,True,False,"[29.491402, 46.832239]",6.6799,3,
Парканы,Парканы,Комсомольская улица,104,3,4.8528,5.5841,4.888,1.597,3.2492,True,False,"[29.491402, 46.832239]",7.1217,3,
Парканы,Парканы,Комсомольская улица,105,3,4.6045,5.3358,4.64,1.597,3.0009,True,False,"[29.491402, 46.832239]",6.7079,3,
Парканы,Парканы,Комсомольская улица,106,3,4.8704,5.6017,4.906,1.597,3.2668,True,False,"[29.491402, 46.832239]",7.1511,3,
Парканы,Парканы,Комсомольская улица,107,3,4.6212,5.3525,4.657,1.597,3.0176,True,False,"[29.491402, 46.832239]",6.7357,3,
Парканы,Парканы,Комсомольская улица,108,3,4.889,5.6203,4.924,1.597,3.2855,True,False,"[29.491402, 46.832239]",7.1822,3,
Парканы,Парканы,Комсомольская улица,109,3,4.6443,5.3756,4.68,1.597,3.0406,True,False,"[29.491402, 46.832239]",6.7741,3,
Парканы,Парканы,Комсомольская улица,110,3,4.9047,5.636,4.94,1.597,3.3011,True,False,"[29.491402, 46.832239]",7.2082,3,
Парканы,Парканы,Комсомольская улица,111,3,4.5799,5.3112,4.616,1.597,2.9764,True,False,"[29.491402, 46.832239]",6.6671,3,
Парканы,Парканы,Комсомольская улица,112,3,4.9184,5.6497,4.954,1.597,3.3148,True,False,"[29.491402, 46.832239]",7.2311,3,
Парканы,Парканы,Комсомольская улица,113,3,4.595,5.3263,4.631,1.597,2.9915,True,False,"[29.491402, 46.832239]",6.6922,3,
Парканы,Парканы,Комсомольская улица,114,3,4.9311,5.6623,4.966,1.597,3.3275,True,False,"[29.491402, 46.832239]",7.2522,3,
