settlement_ru,district_ru,street_ru,housenumber,current_zone,central_km,bam_km,current_expected_km,in_city_km,outside_city_km,crosses_boundary,reenters_city,first_exit_lonlat,eq_km_A,recalculated_zone_A,qa_flag
Бендеры,Борисовка,Кишинёвский переулок,32,4,6.9763,1.403,6.23,6.9729,0.0,False,False,,6.1372,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвский переулок,34,4,6.979,1.4056,6.233,6.9756,0.0,False,False,,6.1399,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвский переулок,38,4,7.0179,1.4446,6.272,7.0145,0.0,False,False,,6.1788,3,zone_move_4->3
Бендеры,Борисовка,Кишинёвский тупик,1,2,4.4645,1.1294,4.04,4.4588,0.0,False,False,,3.959,2,
Бендеры,Борисовка,Кишинёвский тупик,1,2,4.4511,1.116,4.04,4.4454,0.0,False,False,,3.9456,2,
Бендеры,Борисовка,Кишинёвский тупик,2,3,4.5233,1.1882,4.112,4.5175,0.0,False,False,,4.0177,2,zone_move_3->2
Бендеры,Борисовка,Кишинёвский тупик,2а,3,4.4984,1.1633,4.088,4.4926,0.0,False,False,,3.9928,2,zone_move_3->2
Бендеры,Борисовка,Кишинёвский тупик,3,2,4.4695,1.1344,4.058,4.4638,0.0,False,False,,3.964,2,
Бендеры,Борисовка,Кишинёвский тупик,4,3,4.5483,1.2132,4.138,4.5425,0.0,False,False,,4.0427,2,zone_move_3->2
Бендеры,Борисовка,Кишинёвский тупик,5,2,4.4851,1.15,4.075,4.4793,0.0,False,False,,3.9795,2,
Бендеры,Борисовка,Кишинёвский тупик,7,3,4.5033,1.1682,4.093,4.4975,0.0,False,False,,3.9977,2,zone_move_3->2
Бендеры,Борисовка,Кишинёвский тупик,8а,2,4.2193,0.8841,3.808,4.2142,0.0,False,False,,3.7144,2,
Бендеры,Борисовка,Кишинёвский тупик,10,2,4.1961,0.8609,3.785,4.1911,0.0,False,False,,3.6913,2,
Бендеры,Борисовка,Кооперативный тупик,5,2,4.0727,0.7376,3.662,4.0681,0.0,False,False,,3.5683,2,
