control_id,uid,district,target_district,street,housenumber,destination_lat,destination_lon,control_reason,checked_date,yandex_fastest_distance_km,yandex_fastest_duration_min,yandex_alternative_distance_km,yandex_alternative_duration_min,yandex_main_streets,yandex_district_entry,yandex_rail_crossing_or_bridge,matches_owner_corridor,current_zone,current_osrm_km,our_engine_km,expected_entry_our_engine,yandex_minus_osrm_km,yandex_osrm_ratio,calibration_status,owner_review_required
MY-044,w352325333,Протягайловка,Протягайловка,Санаторная улица,52,46.82556,29.44953,граница Zone3/4,,,,,,,,,,4,5.8636,5.4301,Про-033 Санаторная улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-045,w320344002,Протягайловка,Протягайловка,переулок Куйбышева,1,46.81849,29.45515,3 ближайших к центру,,,,,,,,,,3,4.7356,4.5565,Про-035 переулок Куйбышева,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-046,w352285305,Протягайловка,Протягайловка,переулок Куйбышева,3,46.81868,29.455,дом у въезда Про-035 (переулок Куйбышева),,,,,,,,,,3,4.7357,4.5626,Про-035 переулок Куйбышева,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-047,w284637172,Протягайловка,Протягайловка,улица 50 лет Победы,1,46.83041,29.44659,дом у въезда Про-029 (улица Интернационалистов),,,,,,,,,,4,6.5454,6.0589,Про-029 улица Интернационалистов,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-048,w352326112,Протягайловка,Протягайловка,улица 50 лет Победы,59,46.82461,29.44952,дом у въезда Про-033 (Санаторная улица),,,,,,,,,,4,6.2632,5.829,Про-033 Санаторная улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-049,w352285324,Протягайловка,Протягайловка,улица Мира,1,46.81823,29.45322,owner-улица улица Мира,,,,,,,,,,3,4.9001,4.73,Про-031 Комсомольская улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-050,w352285315,Протягайловка,Протягайловка,улица Мира,4,46.81843,29.45364,owner-улица улица Мира,,,,,,,,,,3,4.8999,4.7146,Про-035 переулок Куйбышева,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-051,w352161999,Протягайловка,Протягайловка,улица Мира,46,46.82234,29.45033,дом у въезда Про-034 (Гербовецкая улица),,,,,,,,,,3,5.6486,5.1563,Про-034 Гербовецкая улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-052,n2337929291,Протягайловка,Протягайловка,улица Мунтяна,153,46.83824,29.42176,3 самых дальних,,,,,,,,,,4,8.886,7.9021,Про-047,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-053,w302074728,Хомутяновка,Протягайловка,улица Старого,2,46.82074,29.46505,owner-улица улица Старого (наш районный ярлык иной),,,,,,,,,,3,5.084,4.7955,Хом-175 (railway level_crossing),,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-054,w401161034,Протягайловка,Протягайловка,улица Штефан чел Маре,10,46.82074,29.44128,3 средних,,,,,,,,,,4,6.4612,5.2886,Про-034 Гербовецкая улица,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-055,w407342975,Северный,Северный,Strada Dimitrie Cantemir,11,46.88045,29.47674,Северный: все известные точные адреса,,,,,,,,,,4,7.6405,7.5729,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-056,w407326357,Северный,Северный,Strada Tighina,31/2,46.8774,29.4757,Северный: все известные точные адреса,,,,,,,,,,4,7.1982,7.1296,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
MY-057,w407342982,Северный,Северный,Strada Tighina,31/3,46.87711,29.47518,Северный: все известные точные адреса,,,,,,,,,,4,7.0716,7.074,,,,AWAITING_MANUAL_YANDEX_MEASUREMENT,True
