uid,settlement_ru,district_ru,street_ru,housenumber,current_zone,why,fastest_distance_km,fastest_duration_s,min_alt_distance_km,n_alternatives,straight_line_km,detour_ratio,in_city_km,outside_city_km,snap_distance_m,nearest_road_highway,flags,verdict
w318185745,Бендеры,Борисовка,Бельцкая улица,2,3,district_Борисовка,4.5514,409.8,4.5514,1,1.981,2.297,4.5454,0.0,12.4,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n4580309456,Бендеры,Борисовка,Бельцкая улица,3,3,district_Борисовка,4.5049,406.3,4.5049,1,2.037,2.211,4.499,0.0,23.2,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318058451,Бендеры,Борисовка,Бельцкая улица,4,3,district_Борисовка,4.6361,416.2,4.6361,1,1.933,2.399,4.6298,0.0,12.1,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139352,Бендеры,Борисовка,Бельцкая улица,5,3,district_Борисовка,4.5176,407.3,4.5176,1,2.04,2.215,4.5117,0.0,35.8,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139353,Бендеры,Борисовка,Бельцкая улица,7,3,district_Борисовка,4.5445,409.3,4.5445,1,2.012,2.258,4.5385,0.0,21.3,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318058455,Бендеры,Борисовка,Бельцкая улица,8,3,district_Борисовка,4.6551,417.6,4.6551,1,1.921,2.423,4.6488,0.0,13.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139349,Бендеры,Борисовка,Бельцкая улица,9,3,district_Борисовка,4.5702,411.2,4.5702,1,2.006,2.278,4.5641,0.0,32.4,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
n2325366580,Бендеры,Борисовка,Бельцкая улица,10,3,district_Борисовка,4.7498,424.8,4.7498,1,1.868,2.543,4.7432,0.0,17.2,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139344,Бендеры,Борисовка,Бельцкая улица,11,3,district_Борисовка,4.6003,413.5,4.6003,1,1.993,2.308,4.5942,0.0,36.5,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319135683,Бендеры,Борисовка,Бельцкая улица,13,3,district_Борисовка,4.6262,415.4,4.6262,1,1.963,2.357,4.6199,0.0,17.4,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w532689734,Бендеры,Борисовка,Бельцкая улица,14,3,district_Борисовка,4.8015,428.6,4.8015,1,1.863,2.577,4.7947,0.0,9.7,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139342,Бендеры,Борисовка,Бельцкая улица,15,3,district_Борисовка,4.6437,416.7,4.6437,1,1.953,2.378,4.6374,0.0,17.6,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w306219486,Бендеры,Борисовка,Бельцкая улица,16,2,district_Борисовка,4.0303,366.9,4.0303,1,1.855,2.173,4.0257,0.0,15.5,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139341,Бендеры,Борисовка,Бельцкая улица,17,3,district_Борисовка,4.6628,418.2,4.6628,1,1.943,2.4,4.6565,0.0,17.7,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w306219483,Бендеры,Борисовка,Бельцкая улица,18,2,district_Борисовка,4.0511,368.4,4.0511,1,1.855,2.184,4.0465,0.0,15.6,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319139339,Бендеры,Борисовка,Бельцкая улица,19,3,district_Борисовка,4.6773,419.3,4.6773,1,1.934,2.418,4.6709,0.0,17.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w306219470,Бендеры,Борисовка,Бельцкая улица,20,2,district_Борисовка,4.0701,369.9,4.0701,1,1.854,2.195,4.0654,0.0,16.1,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319135680,Бендеры,Борисовка,Бельцкая улица,21,3,district_Борисовка,4.699,420.9,4.699,1,1.928,2.437,4.6925,0.0,23.7,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w306219469,Бендеры,Борисовка,Бельцкая улица,22,2,district_Борисовка,4.0881,371.2,4.0881,1,1.851,2.209,4.0835,0.0,19.7,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318701784,Бендеры,Борисовка,Бельцкая улица,23,3,district_Борисовка,4.7248,422.9,4.7248,1,1.912,2.471,4.7182,0.0,20.3,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w306219468,Бендеры,Борисовка,Бельцкая улица,24,2,district_Борисовка,4.1121,373,4.1121,1,1.852,2.22,4.1073,0.0,19.1,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318701782,Бендеры,Борисовка,Бельцкая улица,25,3,district_Борисовка,4.7437,424.3,4.7437,1,1.905,2.49,4.7371,0.0,19.6,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w306219466,Бендеры,Борисовка,Бельцкая улица,26,2,district_Борисовка,4.1307,374.4,4.1307,1,1.856,2.225,4.1259,0.0,15.4,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w317148288,Бендеры,Борисовка,Бельцкая улица,27,3,district_Борисовка,4.8016,428.6,4.8016,1,1.9,2.527,4.7948,0.0,27.3,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w306219465,Бендеры,Борисовка,Бельцкая улица,28,2,district_Борисовка,4.1479,375.7,4.1479,1,1.857,2.234,4.143,0.0,16.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w209267155,Бендеры,Борисовка,Бельцкая улица,29,4,in_city_zone4;district_Борисовка;neighbour_jump_4v2,6.664,425.4,4.65,1,2.004,3.326,6.6609,0.0,17.2,primary,detour_gt_1.5;alt_>10pct_shorter,OSRM_ROUTE_SELECTION_ISSUE
w318701773,Бендеры,Борисовка,Бельцкая улица,33,2,district_Борисовка,4.0376,367.4,4.0376,1,1.891,2.135,4.033,0.0,21.1,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w295571380,Бендеры,Борисовка,Бельцкая улица,33б,2,district_Борисовка;neighbour_jump_2v4,4.3743,395.1,4.3743,1,2.134,2.05,4.3686,0.0,17.0,primary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318058442,Бендеры,Борисовка,Бельцкая улица,34,3,district_Борисовка,4.6062,413.9,4.6062,1,1.948,2.365,4.6,0.0,13.9,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w318701778,Бендеры,Борисовка,Бельцкая улица,35,2,district_Борисовка,4.0594,369.1,4.0594,1,1.888,2.15,4.0548,0.0,18.0,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
w319144223,Бендеры,Борисовка,Бельцкая улица,36/36а,2,district_Борисовка,3.5915,324.4,3.5915,0,1.878,1.912,3.5879,0.0,24.1,tertiary,detour_gt_1.5,INSUFFICIENT_EVIDENCE
