settlement,street_ru,osm_ids,confirmed_addresses,confirmed_residential_buildings,probable_residential_buildings,apartment_buildings,nonresidential_buildings,outbuildings,abandoned_or_ruin,official_web_evidence,civic_or_commercial_pois,connected_to_core,distance_to_core_by_road_km,demand_tier,affects_zone_pricing,service_status,reason
giska,Школьный переулок,223669261,12,12,37,0,0,0,0,True,0,False,1.713,A,True,standard,confirmed_addresses>=5
giska,переулок Мира,223225649,6,10,4,0,0,0,0,True,0,True,0.0,A,True,standard,confirmed_addresses>=5
giska,переулок Суворова,223224975;223225680;223225697;223225740;223225927;223225928,26,49,20,0,0,0,0,True,0,True,0.0,A,True,standard,confirmed_addresses>=5
giska,улица 40 лет МССР,223433474,5,5,6,0,0,0,0,False,0,False,,A,True,standard,confirmed_addresses>=5
giska,улица 60 лет Октября,223226306,18,14,85,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
giska,улица Бориса Главана,223226396,11,11,50,0,0,0,0,False,0,False,,A,True,standard,confirmed_addresses>=5
giska,улица Гагарина,223677259;223677388;674132674,33,18,118,0,0,0,1,True,3,False,3.2,A,True,standard,confirmed_addresses>=5
giska,улица Гоголя,223225568;223231558,20,19,87,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
giska,улица Интернационалистов,1354633408,5,18,2,0,0,0,0,False,0,True,0.0,A,True,standard,confirmed_addresses>=5
giska,улица Кирова,223970478,55,51,31,0,1,0,0,True,1,False,,A,True,standard,confirmed_addresses>=5
giska,улица Курило,223232234;223232747;1354633410,6,6,27,0,0,0,1,False,0,True,0.039,A,True,standard,confirmed_addresses>=5
giska,улица Ленина,223231541;223231559;223231788;223232236;223232237;223674639;397371949;680056519,191,131,531,4,8,1,1,True,14,True,0.0,A,True,standard,apartment_building
giska,улица Мира,223225831;223225929;223968247,66,54,131,0,0,0,0,True,2,True,0.0,A,True,standard,confirmed_addresses>=5
