canonical_address,full_address_ru,display_address_ru,settlement_ru,district_ru,street_ru,housenumber,coordinate_spread_m,candidate_uid,lon,lat,expected_km,status,resolution,direct_export_eligible
бендеры||улица космонавтов|9,"Бендеры, улица Космонавтов, дом 9",улица Космонавтов (Бендеры),Бендеры,,улица Космонавтов,9,967,w320187931,29.47692,46.79958,3.31,disputed,owner_review_required,False
бендеры||улица космонавтов|1,"Бендеры, улица Космонавтов, дом 1",улица Космонавтов (Бендеры),Бендеры,,улица Космонавтов,1,1088,w47475151,29.46269,46.80048,4.335,disputed,owner_review_required,False
бендеры||улица космонавтов|1,"Бендеры, улица Космонавтов, дом 1",улица Космонавтов (Бендеры),Бендеры,,улица Космонавтов,1,1088,w318122820,29.47701,46.80027,3.272,disputed,owner_review_required,False
бендеры||коммунистическая улица|1,"Бендеры, Коммунистическая улица, дом 1",Коммунистическая улица (Бендеры),Бендеры,,Коммунистическая улица,1,3065,w47475159,29.46571,46.80427,3.351,disputed,owner_review_required,False
бендеры||коммунистическая улица|1,"Бендеры, Коммунистическая улица, дом 1",Коммунистическая улица (Бендеры),Бендеры,,Коммунистическая улица,1,3065,w164987463,29.48184,46.83188,1.307,disputed,owner_review_required,False
бендеры||улица зои космодемьянской|10,"Бендеры, улица Зои Космодемьянской, дом 10",улица Зои Космодемьянской,Бендеры,,улица Зои Космодемьянской,10,438,w47475968,29.46556,46.84481,3.929,disputed,owner_review_required,False
бендеры||улица зои космодемьянской|10,"Бендеры, улица Зои Космодемьянской, дом 10",улица Зои Космодемьянской,Бендеры,,улица Зои Космодемьянской,10,438,w165763753,29.46879,46.84215,3.624,disputed,owner_review_required,False
бендеры||улица зои космодемьянской|10,"Бендеры, улица Зои Космодемьянской, дом 10",улица Зои Космодемьянской,Бендеры,,улица Зои Космодемьянской,10,438,n4017877011,29.46303,46.84572,4.042,disputed,owner_review_required,False
бендеры||ленинградская улица|52,"Бендеры, Ленинградская улица, дом 52",Ленинградская улица,Бендеры,,Ленинградская улица,52,214,w91847105,29.46437,46.85194,4.474,disputed,owner_review_required,False
бендеры||ленинградская улица|52,"Бендеры, Ленинградская улица, дом 52",Ленинградская улица,Бендеры,,Ленинградская улица,52,214,w103771204,29.46287,46.85387,4.74,disputed,owner_review_required,False
бендеры||улица 12 октября|83,"Бендеры, улица 12 Октября, дом 83",улица 12 Октября,Бендеры,,улица 12 Октября,83,232,w91848270,29.46013,46.84146,4.54,disputed,owner_review_required,False
