uid,district,street,house,current_zone,snap_m,true_shortest_km,current_osrm_km,current_minus_true_km,overstated_gt_10pct,owner_review_required
n4919309516,Хомутяновка,Гербовецкая улица,45,3,37.7,5.0821,5.3283,0.2462,False,True
w320440076,Хомутяновка,Гербовецкая улица,49,3,20.1,5.0613,5.5426,0.4813,False,True
w353974419,Хомутяновка,Главная улица,1,3,19.1,4.3365,4.505,0.1685,False,True
w353974255,Хомутяновка,Главная улица,3,3,25.1,4.3066,4.4589,0.1523,False,True
w318084711,Хомутяновка,Глинная улица,1,3,45.1,5.4086,5.5873,0.1787,False,True
w318548578,Хомутяновка,Глинная улица,3,3,38.7,5.4086,5.6022,0.1936,False,True
w318548576,Хомутяновка,Глинная улица,5,3,14.0,5.4086,5.6238,0.2152,False,True
w318548577,Хомутяновка,Глинная улица,7,3,11.0,5.4086,5.6359,0.2273,False,True
w318084713,Хомутяновка,Глинная улица,9,3,14.8,5.3134,5.5473,0.2339,False,True
w315109557,Хомутяновка,Дачная улица,1,3,67.7,4.3446,4.4611,0.1165,False,True
w315109558,Хомутяновка,Дачная улица,3,3,55.0,4.2261,4.4421,0.216,False,True
w318406782,Хомутяновка,Дачная улица,4,3,48.3,4.3446,4.48,0.1354,False,True
w318406783,Хомутяновка,Дачная улица,6,3,65.3,4.3446,4.4625,0.1179,False,True
w318406789,Хомутяновка,Дачная улица,8,3,58.8,4.2261,4.4457,0.2196,False,True
w318406792,Хомутяновка,Дачная улица,10,3,42.2,4.2261,4.4294,0.2033,False,True
w299956671,Хомутяновка,Деповская улица,5,4,50.7,4.9085,7.4577,2.5492,True,True
w317051444,Хомутяновка,Железнодорожная улица,3,3,35.8,5.2347,5.678,0.4433,False,True
w317149176,Хомутяновка,Железнодорожная улица,4,3,43.8,5.105,5.8281,0.7231,True,True
w317051443,Хомутяновка,Железнодорожная улица,5,3,48.4,5.2347,5.6646,0.4299,False,True
w317149175,Хомутяновка,Железнодорожная улица,6,3,59.3,5.105,5.8127,0.7077,True,True
w317051442,Хомутяновка,Железнодорожная улица,7,3,64.7,5.2347,5.648,0.4133,False,True
w317051499,Хомутяновка,Железнодорожная улица,8,3,76.8,5.2347,5.788,0.5533,True,True
w317051441,Хомутяновка,Железнодорожная улица,9,3,75.6,5.383,5.6341,0.2511,False,True
w317051496,Хомутяновка,Железнодорожная улица,10,3,44.9,5.2347,5.7555,0.5208,False,True
w317051439,Хомутяновка,Железнодорожная улица,11,3,64.2,5.383,5.6219,0.2389,False,True
w317051432,Хомутяновка,Железнодорожная улица,13,3,48.8,5.383,5.605,0.222,False,True
w317051487,Хомутяновка,Железнодорожная улица,16,3,36.9,5.2347,5.6766,0.4419,False,True
n9170522018,Хомутяновка,Железнодорожная улица,17,3,18.0,5.383,5.5758,0.1928,False,True
w317051467,Хомутяновка,Железнодорожная улица,18,3,50.9,5.2347,5.6608,0.4261,False,True
w317051466,Хомутяновка,Железнодорожная улица,20,3,67.3,5.2347,5.6442,0.4095,False,True
w316645121,Хомутяновка,Железнодорожная улица,21,3,33.5,5.383,5.5868,0.2038,False,True
w317051464,Хомутяновка,Железнодорожная улица,22,3,69.2,5.383,5.6271,0.2441,False,True
w316645120,Хомутяновка,Железнодорожная улица,23,3,42.4,5.383,5.5237,0.1407,False,True
w317051462,Хомутяновка,Железнодорожная улица,24,3,55.2,5.383,5.6118,0.2288,False,True
