uid,osm_type,osm_id,unit_type,settlement,street_ru,housenumber,tier,lon,lat,weight,expected_km,expected_min,central_km,central_min,bam_km,bam_min,worst_origin_km,band_k4,band_k5
n2459417407,n,2459417407,addressed_residential_building,parkany,улица Пушкина,22,A,29.51231,46.8332,1.0,3.666,4.48,3.538,4.28,4.236,5.535,6.005,2,2
w223437272,w,223437272,addressed_residential_building,parkany,улица Димитрова,6,A,29.50937,46.83777,1.0,3.666,4.715,3.538,4.515,4.2356,5.77,6.005,2,2
w1292293318,w,1292293318,unaddressed_residential_building,parkany,улица Димитрова,,A,29.50835,46.83771,0.5,3.667,4.638,3.539,4.438,4.2369,5.693,6.006,2,2
w352470471,w,352470471,addressed_residential_building,bender_core,улица Фрунзе,1,A,29.46062,46.81155,1.0,3.667,4.556,3.662,4.502,4.6679,5.767,4.948,2,2
w47467971,w,47467971,addressed_residential_building,bender_core,улица Космонавтов,27,A,29.47095,46.80048,1.0,3.667,4.298,3.523,4.048,6.1813,7.575,6.181,2,2
w667705937,w,667705937,unaddressed_residential_building,bender_lipcani,Красивая улица,,A,29.48368,46.84623,0.5,3.667,5.747,3.734,5.868,1.4297,2.64,6.471,2,2
w352313161,w,352313161,unaddressed_residential_building,bender_core,улица Менделеева,,A,29.46243,46.8126,0.5,3.668,5.197,3.648,5.14,4.922,6.463,4.934,2,2
w399048971,w,399048971,addressed_residential_building,bender_lipcani,Красивая улица,12,A,29.48353,46.84624,1.0,3.668,5.751,3.735,5.872,1.431,2.643,6.473,2,2
n2457586656,n,2457586656,addressed_residential_building,parkany,улица Ленина,45,A,29.51077,46.83172,1.0,3.669,4.501,3.54,4.302,4.2383,5.557,6.007,2,2
n2459596453,n,2459596453,addressed_residential_building,parkany,Садовая улица,11,A,29.50721,46.83693,1.0,3.669,4.855,3.541,4.655,4.2391,5.91,6.008,2,2
w1354934532,w,1354934532,unaddressed_residential_building,,,,A,29.45823,46.80261,0.5,3.669,6.521,3.58,6.393,6.1939,9.137,6.194,2,2
n2459596427,n,2459596427,addressed_residential_building,parkany,Садовая улица,12,A,29.50759,46.83699,1.0,3.67,4.856,3.542,4.657,4.2401,5.912,6.009,2,2
w405093313,w,405093313,unaddressed_residential_building,bender_lipcani,улица Титова,,A,29.47394,46.84474,0.5,3.67,5.722,3.791,5.915,0.5837,1.493,6.529,2,2
w404776039,w,404776039,addressed_residential_building,bender_lipcani,Парканская улица,19,A,29.48683,46.8445,1.0,3.671,5.896,3.739,6.017,1.4342,2.788,6.476,2,2
n2457586879,n,2457586879,addressed_residential_building,parkany,улица Ленина,28,A,29.51036,46.83159,1.0,3.672,4.506,3.544,4.307,4.2419,5.562,6.011,2,2
w1292293320,w,1292293320,unaddressed_residential_building,parkany,улица Шевченко,,A,29.51312,46.83631,0.5,3.672,4.616,3.543,4.417,4.2415,5.672,6.011,2,2
w405741157,w,405741157,unaddressed_residential_building,parkany,Садовая улица,,A,29.50718,46.83695,0.5,3.672,4.86,3.543,4.66,4.2416,5.915,6.011,2,2
n2459417352,n,2459417352,addressed_residential_building,parkany,улица Пушкина,25,A,29.51259,46.83321,1.0,3.673,4.488,3.544,4.288,4.2423,5.543,6.011,2,2
w284657859,w,284657859,unaddressed_residential_building,parkany,улица Шевченко,,A,29.51316,46.83614,0.5,3.673,4.618,3.544,4.418,4.2422,5.673,6.011,2,2
w284664990,w,284664990,unaddressed_residential_building,parkany,улица Димитрова,,A,29.5087,46.83781,0.5,3.673,4.653,3.545,4.453,4.2431,5.708,6.012,2,2
w319141429,w,319141429,unaddressed_residential_building,bender_core,улица Зои Космодемьянской,,A,29.46953,46.83933,0.5,3.673,5.649,3.833,5.893,0.4647,1.108,5.601,2,2
w330410223,w,330410223,addressed_residential_building,bender_core,улица Менделеева,9,A,29.46291,46.81237,1.0,3.673,5.209,3.653,5.152,4.9269,6.475,4.938,2,2
w353810454,w,353810454,addressed_residential_building,,,61,A,29.4769,46.79495,1.0,3.673,3.773,3.529,3.523,6.1872,7.05,6.187,2,2
w96821716,w,96821716,addressed_residential_building,bender_core,улица Титова,10,A,29.47162,46.84267,1.0,3.673,5.552,3.8,5.752,0.4671,1.247,6.605,2,2
w352313724,w,352313724,unaddressed_residential_building,bender_core,улица Асаке,,A,29.46019,46.81184,0.5,3.674,4.657,3.67,4.603,4.6755,5.868,4.956,2,2
w284652440,w,284652440,unaddressed_residential_building,parkany,улица Благоева,,A,29.51119,46.83692,0.5,3.677,4.47,3.549,4.27,4.2466,5.525,6.016,2,2
w352470489,w,352470489,unaddressed_residential_building,bender_core,улица Асаке,,A,29.4599,46.81156,0.5,3.677,4.666,3.672,4.612,4.6776,5.877,4.958,2,2
w237810074,w,237810074,addressed_residential_building,parkany,Комсомольская улица,18а,A,29.51455,46.83521,1.0,3.678,4.475,3.549,4.275,4.2472,5.53,6.016,2,2
w286744454,w,286744454,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51222,46.83307,0.5,3.678,4.496,3.549,4.297,4.2474,5.552,6.016,2,2
w286876174,w,286876174,unaddressed_residential_building,parkany,улица Пушкина,,A,29.51303,46.83327,0.5,3.678,4.496,3.549,4.297,4.2471,5.552,6.016,2,2
w319146323,w,319146323,unaddressed_residential_building,,,,A,29.48786,46.8389,0.5,3.678,8.095,3.736,8.19,1.5366,5.252,6.578,2,2
w352470472,w,352470472,unaddressed_residential_building,bender_core,улица Асаке,,A,29.4607,46.81167,0.5,3.678,4.536,3.673,4.482,4.6787,5.747,4.959,2,2
