address_id,address_release_version,territory,district,street,house_number,destination_lat,destination_lon,router_status,router_distance_km,router_duration_min,straight_line_km,detour_factor,snapped_origin_lat,snapped_origin_lon,origin_snap_distance_m,snapped_destination_lat,snapped_destination_lon,destination_snap_distance_m,router_main_streets,route_node_count,route_first_nodes,route_last_nodes,terminal_node_signature,corridor_signature,bridge_or_rail,uturn,route_geometry_hash,probable_anomaly,anomaly_severity,owner_review_required
w295401064,1.1.0,Бендеры,,Садовый переулок,9,46.81409,29.4869,ROUTABLE,1.4673,2.408,1.1258,1.303,46.8241540,29.4833040,33.23,46.8140980,29.4867200,13.76,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,2a2cceaf207980d3a019527bbc6e4e08df7d157e44548564273b8e557f4a495f,NONE,NONE,False
w295401065,1.1.0,Бендеры,,Садовый переулок,66,46.81403,29.48715,ROUTABLE,1.4729,2.422,1.1372,1.295,46.8241540,29.4833040,33.23,46.8140480,29.4867160,33.18,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,14cba682b74af892e8e9abedffaa0bf94546f7f0b7fd24fb404c987801418d50,DESTINATION_SNAP_GT30M,MEDIUM,True
w295401066,1.1.0,Бендеры,,улица Маяковского,68,46.8139,29.48741,ROUTABLE,1.5565,2.618,1.1565,1.346,46.8241540,29.4833040,33.23,46.8138830,29.4876930,21.68,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок; улица Маяковского,32,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211048;4580202579;514211050;1017948971;1017949116;1017949305;1017949218;514211168,b3c6bd963e31091221b9,2b22b7b7e92666255f53,NONE_OBSERVED,NO,9565c2d2468190e8acb8f3d4850b2abf6f7a82dc3b186d0c203e338a96308828,NONE,NONE,False
w295401067,1.1.0,Бендеры,,Садовый переулок,11,46.81375,29.48687,ROUTABLE,1.5052,2.498,1.1618,1.296,46.8241540,29.4833040,33.23,46.8137580,29.4866890,13.84,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,35df04ffde20d6facb118bb4d24bfb64e32ec38e9284eccf7b9bf31cf69a1377,NONE,NONE,False
w295401068,1.1.0,Бендеры,,улица Маяковского,70,46.8138,29.48737,ROUTABLE,1.5678,2.645,1.1664,1.344,46.8241540,29.4833040,33.23,46.8137820,29.4876800,23.74,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок; улица Маяковского,32,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211048;4580202579;514211050;1017948971;1017949116;1017949305;1017949218;514211168,b3c6bd963e31091221b9,2b22b7b7e92666255f53,NONE_OBSERVED,NO,0ea70ddd330273ec2e1e75c19c728314ace14f85c4e3871303cfb2cae5704cbf,NONE,NONE,False
w295401069,1.1.0,Бендеры,,улица Маяковского,72,46.81368,29.48727,ROUTABLE,1.5818,2.678,1.1771,1.344,46.8241540,29.4833040,33.23,46.8136570,29.4876640,30.17,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок; улица Маяковского,32,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211048;4580202579;514211050;1017948971;1017949116;1017949305;1017949218;514211168,b3c6bd963e31091221b9,2b22b7b7e92666255f53,NONE_OBSERVED,NO,00f3e22596bacefacd86932a36600c3b8f4fb552645ca6e650fff3443f6a3a90,DESTINATION_SNAP_GT30M,MEDIUM,True
w295401070,1.1.0,Бендеры,,улица Маяковского,74,46.81359,29.48731,ROUTABLE,1.5915,2.702,1.1876,1.340,46.8241540,29.4833040,33.23,46.8135700,29.4876540,26.34,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок; улица Маяковского,32,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211048;4580202579;514211050;1017948971;1017949116;1017949305;1017949218;514211168,b3c6bd963e31091221b9,2b22b7b7e92666255f53,NONE_OBSERVED,NO,0e680ed5cc79b5af80cfa90fac376f3f032d1b70f05dd113945c9e7e46f8b6c4,NONE,NONE,False
w295401071,1.1.0,Бендеры,,улица Маяковского,76,46.81342,29.48719,ROUTABLE,1.7790,2.873,1.2034,1.478,46.8241540,29.4833040,33.23,46.8133940,29.4876320,33.85,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко; Первомайская улица; улица Маяковского,40,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,6811971797;6811971796;6811971798;514211160;1017949038;1017949098;514211168;1017949218,52751828ace338b1d7d9,d342336fd28d6579856e,NONE_OBSERVED,NO,0ed8a0f9280d122643615bbe9ffddcb57cbd0159d4078fa17ca356ea2fad11e0,DESTINATION_SNAP_GT30M;ROUTE_STREET_LOOP;STREET_DISTANCE_CONTINUITY_OUTLIER,HIGH,True
w295401072,1.1.0,Бендеры,,Садовый переулок,78,46.81328,29.48712,ROUTABLE,1.5471,2.600,1.2171,1.271,46.8241540,29.4833040,33.23,46.8133820,29.4866550,37.25,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,3ab3b370e09938ab7237cab3340f830a4fe40fd4a384352cedfa4a679fd03d76,DESTINATION_SNAP_GT30M,MEDIUM,True
w295401073,1.1.0,Бендеры,,улица Маяковского,80,46.81321,29.48729,ROUTABLE,1.7565,2.820,1.2280,1.430,46.8241540,29.4833040,33.23,46.8131920,29.4876060,24.19,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко; Первомайская улица; улица Маяковского,40,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,6811971797;6811971796;6811971798;514211160;1017949038;1017949098;514211168;1017949218,52751828ace338b1d7d9,d342336fd28d6579856e,NONE_OBSERVED,NO,28d08e04a697cd52e2ead918e8cf3e7a4b94b737d5088d77b7a296b87a3893fb,ROUTE_STREET_LOOP,MEDIUM,True
w295401074,1.1.0,Бендеры,,улица Маяковского,82,46.81309,29.48732,ROUTABLE,1.7433,2.788,1.2414,1.404,46.8241540,29.4833040,33.23,46.8130740,29.4875920,20.83,улица Сергея Лазо; улица Суворова; улица Ленина; улица Шестакова; улица Ленина; улица Ткаченко; Первомайская улица; улица Маяковского,40,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,6811971797;6811971796;6811971798;514211160;1017949038;1017949098;514211168;1017949218,52751828ace338b1d7d9,d342336fd28d6579856e,NONE_OBSERVED,NO,fba65e09bd0e22496ec2c8baa0e735c72cb1f9b53db0f66dbe5a1ebecdef7c26,ROUTE_STREET_LOOP,MEDIUM,True
w295401075,1.1.0,Бендеры,,Первомайская улица,101,46.81283,29.48704,ROUTABLE,1.6429,2.517,1.2642,1.300,46.8241540,29.4833040,33.23,46.8126470,29.4870430,20.34,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Первомайская улица,34,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211050;1017948930;514211054;514211016;1017949328;1017949120;1017949352;1017949007,1dd84ba37f151fd66245,e901197b6742fb42dc7c,NONE_OBSERVED,NO,749b61f001fd6f3b67f2fa8b11dd820a00cc6d60870db6cc90f911f43b820a34,NONE,NONE,False
w295401076,1.1.0,Бендеры,,Садовый переулок,8,46.81398,29.4866,ROUTABLE,1.4810,2.440,1.1321,1.308,46.8241540,29.4833040,33.23,46.8139750,29.4867090,8.34,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,93318522d8065bf873a9107493f3bf1bd0c93f56b5827a5fb8064681d1231d61,NONE,NONE,False
w295401077,1.1.0,Бендеры,,Садовый переулок,6,46.81415,29.48663,ROUTABLE,1.4620,2.395,1.1142,1.312,46.8241540,29.4833040,33.23,46.8141460,29.4867240,7.19,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,4ff46473908c91ed4b17a7bba022d86393e7062b9ac13187d7d9cc42cd4c0eab,NONE,NONE,False
w295401079,1.1.0,Бендеры,,Садовый переулок,4,46.81454,29.48665,ROUTABLE,1.4187,2.290,1.0725,1.323,46.8241540,29.4833040,33.23,46.8145350,29.4867600,8.41,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,5499036a5cbbdcbd88d8e467ba102256a951d551c891a3519e53544394ea43c1,NONE,NONE,False
w295401081,1.1.0,Бендеры,,Садовый переулок,13,46.81339,29.4868,ROUTABLE,1.5455,2.595,1.1994,1.289,46.8241540,29.4833040,33.23,46.8133960,29.4866560,11.01,улица Сергея Лазо; улица Суворова; Московская улица; Садовая улица; Садовый переулок,29,2586302559;2586302556;4847191806;3304928321;514211120;6015468032;2586302542;2586302545,514211079;514211046;1017949390;514211048;4580202579;514211050;1017948971;1303505931,1fbb1bead21a382d355e,2b22b7b7e92666255f53,NONE_OBSERVED,NO,24423f4345183b52b49669ee1a9d9dfa5de472c463d0e6b9056f3b683f98a80d,NONE,NONE,False
