address_id,street,house_number,router_distance_km,nearest_threshold_km,distance_to_threshold_m,provisional_zone,neighbor_zone_discontinuity,snap_risk,manual_review_required,reason
w305230302,улица Правды,39,2.4305,2.424,6.5,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305230303,улица Правды,37,2.4451,2.424,21.1,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305230304,улица Правды,35,2.4560,2.424,32.0,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305230306,улица Правды,33,2.4710,2.424,47.0,Zone 2,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305230307,улица Правды,31,2.4863,2.424,62.3,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305230316,улица Правды,29,2.5146,2.424,90.6,Zone 2,False,False,True,WITHIN_100M_OF_THRESHOLD
w305230330,тупик Некрасова,16,2.4047,2.424,19.3,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305230332,улица Урицкого,2,2.3679,2.424,56.1,Zone 1,False,False,True,WITHIN_100M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305230333,улица Урицкого,4,2.3992,2.424,24.8,Zone 1,False,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD
w305230334,улица Баумана,5,2.3829,2.424,41.1,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305963630,улица Урицкого,6,2.4224,2.424,1.6,Zone 1,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
w305963631,улица Урицкого,8,2.4479,2.424,23.9,Zone 2,True,False,True,WITHIN_50M_OF_THRESHOLD;WITHIN_3_PERCENT_OF_THRESHOLD;NEIGHBOR_ZONE_DISCONTINUITY
