uid,address,territory,is_city,route_km,base_price,external_status,external_km,external_surcharge,reference_price,old_k4_zone_id,proposed_zone
n2323152145,"Парканы, Пионерская улица, 100а",Парканы,False,4.803,21.212,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152146,"Парканы, улица Котовского, 102",Парканы,False,4.796,21.184,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152148,"Парканы, Пионерская улица, 26",Парканы,False,4.598,20.392,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152149,"Парканы, Комсомольская улица, 109",Парканы,False,4.644,20.576,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152150,"Парканы, Комсомольская улица, 111",Парканы,False,4.58,20.32,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152151,"Парканы, Комсомольская улица, 37",Парканы,False,3.945,17.78,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152152,"Парканы, Комсомольская улица, 39",Парканы,False,3.99,17.96,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152154,"Парканы, Комсомольская улица, 42",Парканы,False,3.862,17.448,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323152155,"Парканы, Пионерская улица, 98",Парканы,False,4.517,20.068,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152157,"Парканы, Коммунистическая улица, 41",Парканы,False,4.746,20.984,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323152159,"Парканы, Комсомольская улица, 100",Парканы,False,4.819,21.276,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323214983,"Бендеры, улица Шестакова, 66",Бендеры,True,0.934,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323214991,"Бендеры, улица Шестакова, 61",Бендеры,True,0.834,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323220898,"Бендеры, улица Шестакова, 13",Бендеры,True,0.904,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323227009,"Бендеры, улица Щорса, 3",Бендеры,True,1.111,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323261760,"Бендеры, Комсомольская улица, 58",Бендеры,True,1.033,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323263963,"Бендеры, Московская улица, 58",Бендеры,True,0.795,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323270281,"Бендеры, Молдавская улица, 15А",Бендеры,True,1.161,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323271510,"Бендеры, Комсомольская улица, 62",Бендеры,True,1.041,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323280410,"Бендеры, улица Ткаченко, 4в",Бендеры,True,1.266,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323280446,"Бендеры, улица Ткаченко, 19",Бендеры,True,1.51,14.0,n/a (city),0.0,0.0,14.0,1,1
n2323343667,"Парканы, Пионерская улица, 2",Парканы,False,4.341,19.364,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323343668,"Парканы, Комсомольская улица, 168",Парканы,False,5.392,23.568,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323343670,"Парканы, улица Пушкина, 47",Парканы,False,3.733,16.932,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323343672,"Парканы, улица Пушкина, 46",Парканы,False,3.724,16.896,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323343677,"Парканы, улица Пушкина, 48",Парканы,False,3.807,17.228,PENDING (no ГАИ-post coords + boundary undecided),,,,2,
n2323343678,"Парканы, улица Пушкина, 101",Парканы,False,4.406,19.624,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323343679,"Парканы, улица Пушкина, 110",Парканы,False,4.404,19.616,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323343680,"Парканы, Пионерская улица, 3",Парканы,False,4.509,20.036,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323343681,"Парканы, Пионерская улица, 1",Парканы,False,4.402,19.608,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
n2323343682,"Парканы, Пионерская улица, 103",Парканы,False,4.315,19.26,PENDING (no ГАИ-post coords + boundary undecided),,,,3,
