model_id,metric,method,k,zone_id,lower_bound,upper_bound,all_address_count,all_population_share,city_address_count,city_population_share,economic_scope,median_route_km,median_effective_km,median_taxi_reference,candidate_delivery_fee_rub,client_median_saving_rub,driver_median_gap_rub,boundary_instability_count,confidence,notes
CITY_K4R_kmeans,fixed_origin_km,kmeans,4,4,4.954,,,,1023,0.2102,CITY_DEPLOYABLE,5.57,,,,,,704,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K4R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,4,1,0.0,1.725,,,1349,0.2772,CITY_DEPLOYABLE,1.137,1.137,18.0,11,7.0,2.0,692,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K4R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,4,2,1.725,3.275,,,1192,0.245,CITY_DEPLOYABLE,2.308,2.308,18.0,12,6.0,1.0,692,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K4R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,4,3,3.275,4.975,,,1321,0.2715,CITY_DEPLOYABLE,4.322,4.322,25.93,22,3.93,-1.07,692,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K4R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,4,4,4.975,,,,1004,0.2063,CITY_DEPLOYABLE,5.582,5.582,33.49,32,1.49,-3.51,692,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K4R_business,fixed_origin_km,business_constrained(min_share=0.12),4,1,0.0,1.725,,,1349,0.2772,CITY_DEPLOYABLE,1.137,1.137,18.0,11,7.0,2.0,692,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K4R_business,fixed_origin_km,business_constrained(min_share=0.12),4,2,1.725,3.275,,,1192,0.245,CITY_DEPLOYABLE,2.308,2.308,18.0,12,6.0,1.0,692,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K4R_business,fixed_origin_km,business_constrained(min_share=0.12),4,3,3.275,4.975,,,1321,0.2715,CITY_DEPLOYABLE,4.322,4.322,25.93,22,3.93,-1.07,692,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K4R_business,fixed_origin_km,business_constrained(min_share=0.12),4,4,4.975,,,,1004,0.2063,CITY_DEPLOYABLE,5.582,5.582,33.49,32,1.49,-3.51,692,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_quantile,fixed_origin_km,quantile,5,1,0.0,1.363,,,972,0.1998,CITY_DEPLOYABLE,0.992,,,,,,1194,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_quantile,fixed_origin_km,quantile,5,2,1.363,2.308,,,972,0.1998,CITY_DEPLOYABLE,1.896,,,,,,1194,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_quantile,fixed_origin_km,quantile,5,3,2.308,3.946,,,975,0.2004,CITY_DEPLOYABLE,2.951,,,,,,1194,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_quantile,fixed_origin_km,quantile,5,4,3.946,5.005,,,971,0.1995,CITY_DEPLOYABLE,4.468,,,,,,1194,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_quantile,fixed_origin_km,quantile,5,5,5.005,,,,976,0.2006,CITY_DEPLOYABLE,5.605,,,,,,1194,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_kmeans,fixed_origin_km,kmeans,5,1,0.0,1.667,,,1314,0.27,CITY_DEPLOYABLE,1.122,,,,,,953,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_kmeans,fixed_origin_km,kmeans,5,2,1.667,2.881,,,1081,0.2222,CITY_DEPLOYABLE,2.256,,,,,,953,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_kmeans,fixed_origin_km,kmeans,5,3,2.881,4.106,,,615,0.1264,CITY_DEPLOYABLE,3.512,,,,,,953,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_kmeans,fixed_origin_km,kmeans,5,4,4.106,5.31,,,1143,0.2349,CITY_DEPLOYABLE,4.643,,,,,,953,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_kmeans,fixed_origin_km,kmeans,5,5,5.31,,,,713,0.1465,CITY_DEPLOYABLE,5.815,,,,,,953,CITY_CANDIDATE,city deployable (fixed-origin km; outside_km=0)
CITY_K5R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,5,1,0.0,1.675,,,1322,0.2717,CITY_DEPLOYABLE,1.125,1.125,18.0,11,7.0,2.0,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,5,2,1.675,2.875,,,1072,0.2203,CITY_DEPLOYABLE,2.261,2.261,18.0,11,7.0,2.0,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,5,3,2.875,4.125,,,629,0.1293,CITY_DEPLOYABLE,3.52,3.52,21.12,18,3.12,-1.88,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,5,4,4.125,5.325,,,1141,0.2345,CITY_DEPLOYABLE,4.658,4.658,27.95,24,3.95,-1.05,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_dp_optimal_jenks,fixed_origin_km,dp_optimal_jenks,5,5,5.325,,,,702,0.1443,CITY_DEPLOYABLE,5.824,5.824,34.94,33,1.94,-3.06,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_business,fixed_origin_km,business_constrained(min_share=0.12),5,1,0.0,1.675,,,1322,0.2717,CITY_DEPLOYABLE,1.125,1.125,18.0,11,7.0,2.0,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_business,fixed_origin_km,business_constrained(min_share=0.12),5,2,1.675,2.875,,,1072,0.2203,CITY_DEPLOYABLE,2.261,2.261,18.0,11,7.0,2.0,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_business,fixed_origin_km,business_constrained(min_share=0.12),5,3,2.875,4.125,,,629,0.1293,CITY_DEPLOYABLE,3.52,3.52,21.12,18,3.12,-1.88,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
CITY_K5R_business,fixed_origin_km,business_constrained(min_share=0.12),5,4,4.125,5.325,,,1141,0.2345,CITY_DEPLOYABLE,4.658,4.658,27.95,24,3.95,-1.05,970,CITY_CANDIDATE,city deployable; BALANCED fee shown (see zone-policy-prices for all 3)
