address_id,territory,district,street,house_number,lat,lon,fixed_origin_lat,fixed_origin_lon,fixed_origin_km,metric_source,legacy_expected_km,delta_fixed_minus_legacy_km,provenance
n2321749484,Гиска,,Госпитальная улица,12,46.78678,29.45505,46.82388,29.48313,6.17,central_km,6.491,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749485,Гиска,,Госпитальная улица,16,46.78618,29.45493,46.82388,29.48313,6.229,central_km,6.55,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749486,Гиска,,Госпитальная улица,14а,46.78663,29.45472,46.82388,29.48313,6.177,central_km,6.497,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749487,Гиска,,улица Ленина,15,46.78534,29.44548,46.82388,29.48313,5.714,central_km,6.034,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749488,Гиска,,улица Курило,13,46.78493,29.44516,46.82388,29.48313,5.771,central_km,6.092,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749489,Гиска,,улица Курило,20,46.78514,29.44474,46.82388,29.48313,5.77,central_km,6.091,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749490,Гиска,,улица Курило,2,46.78396,29.44374,46.82388,29.48313,5.969,central_km,6.289,-0.32,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749491,Гиска,,улица Курило,1,46.78373,29.4441,46.82388,29.48313,5.961,central_km,6.282,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749492,Гиска,,улица Ленина,100,46.78313,29.44482,46.82388,29.48313,5.809,central_km,6.13,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749493,Гиска,,улица Ленина,102,46.78265,29.44423,46.82388,29.48313,5.878,central_km,6.199,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749494,Гиска,,улица Бориса Главана,89,46.78319,29.44575,46.82388,29.48313,5.804,central_km,6.125,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321749495,Гиска,,улица Бориса Главана,91,46.78284,29.44533,46.82388,29.48313,5.812,central_km,6.133,-0.321,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321833111,Бендеры,,улица Толстого,21,46.82686,29.45683,46.82388,29.48313,5.725,central_km,5.389,0.336,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321834521,Бендеры,,улица Лермонтова,18,46.82613,29.45531,46.82388,29.48313,5.562,central_km,5.268,0.294,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321834524,Бендеры,,улица Лермонтова,39,46.82494,29.45611,46.82388,29.48313,5.42,central_km,5.173,0.247,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321834527,Бендеры,,улица Лермонтова,38,46.82484,29.45579,46.82388,29.48313,5.414,central_km,5.18,0.234,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321834534,Бендеры,,улица Лермонтова,41,46.82454,29.45619,46.82388,29.48313,5.375,central_km,5.145,0.23,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321855312,Бендеры,,улица Лермонтова,56,46.82301,29.45618,46.82388,29.48313,5.202,central_km,5.03,0.172,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321855313,Бендеры,,улица Лермонтова,60,46.82264,29.45609,46.82388,29.48313,5.16,central_km,4.988,0.172,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321855335,Бендеры,,улица Добродеева,37,46.82328,29.45562,46.82388,29.48313,5.328,central_km,5.157,0.171,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321855336,Бендеры,,улица Добродеева,35,46.8232,29.45597,46.82388,29.48313,5.264,central_km,5.067,0.197,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321951516,Бендеры,,улица Старого,40,46.82273,29.45514,46.82388,29.48313,5.228,central_km,5.057,0.171,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321951519,Бендеры,,Гербовецкая улица,43,46.82272,29.45425,46.82388,29.48313,5.294,central_km,5.122,0.172,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321951523,Бендеры,,улица Чехова,30,46.82165,29.45484,46.82388,29.48313,5.1,central_km,5.012,0.088,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321993999,Бендеры,,Путейская улица,2,46.82025,29.46522,46.82388,29.48313,5.136,central_km,5.025,0.111,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321994003,Бендеры,,улица Тургенева,1,46.82034,29.46409,46.82388,29.48313,5.071,central_km,4.959,0.112,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321994021,Бендеры,,улица Бородина,17,46.82298,29.46282,46.82388,29.48313,5.038,central_km,4.814,0.224,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2321994025,Бендеры,,переулок Бородина,9,46.82312,29.46493,46.82388,29.48313,5.266,central_km,4.966,0.3,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107937,Бендеры,,Киевская улица,43,46.81817,29.46011,46.82388,29.48313,4.379,central_km,4.345,0.034,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107940,Бендеры,,улица Ивана Шимкова,2,46.83551,29.46505,46.82388,29.48313,6.515,central_km,5.86,0.655,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107942,Бендеры,,улица Ивана Шимкова,22,46.83454,29.46469,46.82388,29.48313,6.325,central_km,5.723,0.602,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107948,Бендеры,,Фонтанная улица,8,46.83582,29.46384,46.82388,29.48313,6.543,central_km,5.87,0.673,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107950,Бендеры,,Фонтанная улица,22,46.83483,29.46351,46.82388,29.48313,6.431,central_km,5.791,0.64,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107952,Бендеры,,Фонтанная улица,35,46.83424,29.46363,46.82388,29.48313,6.373,central_km,5.788,0.585,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107953,Бендеры,,Фонтанная улица,41,46.83372,29.46338,46.82388,29.48313,6.288,central_km,5.714,0.574,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107954,Бендеры,,Фонтанная улица,24,46.83425,29.46325,46.82388,29.48313,6.368,central_km,5.782,0.586,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107955,Бендеры,,Фонтанная улица,36,46.83279,29.46284,46.82388,29.48313,6.181,central_km,5.645,0.536,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107956,Бендеры,,Фонтанная улица,59,46.83293,29.46324,46.82388,29.48313,6.191,central_km,5.655,0.536,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322107957,Бендеры,,улица Герцена,1,46.8361,29.46313,46.82388,29.48313,6.646,central_km,5.969,0.677,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322112853,Бендеры,,улица Герцена,17,46.83505,29.46276,46.82388,29.48313,6.527,central_km,5.885,0.642,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322112854,Бендеры,,улица Богдана Хмельницкого,2,46.83465,29.46313,46.82388,29.48313,6.434,central_km,5.831,0.603,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322118077,Бендеры,,улица 12 Октября,16,46.83299,29.46249,46.82388,29.48313,6.171,central_km,5.645,0.526,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322118089,Бендеры,,улица 12 Октября,86,46.84181,29.46063,46.82388,29.48313,4.968,central_km,4.558,0.41,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322916164,Бендеры,,Садовая улица,71,46.8133,29.48593,46.82388,29.48313,1.497,central_km,1.827,-0.33,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322916165,Бендеры,,Садовая улица,73,46.813,29.48597,46.82388,29.48313,1.532,central_km,1.862,-0.33,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322975402,Бендеры,,улица Пушкина,66,46.81764,29.47154,46.82388,29.48313,1.686,central_km,2.022,-0.336,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
n2322975403,Бендеры,,улица Горького,7,46.81753,29.47135,46.82388,29.48313,1.688,central_km,2.024,-0.336,stage09 OSRM route from the 0.85-weight central origin (scripts/stage09_engine.py); not invented
