address_id,territory,district,street,house_number,lat,lon,route_km,route_duration_min,route_metric_status,in_city_km,outside_city_km,outside_split_status,boundary_anchor_id,effective_km_1667,taxi_model_a_reference_rub,taxi_model_b_reference_rub,driver_take_fixed_a_rub,driver_take_percent_a_rub,driver_best_taxi_take_a_rub,current_zone_id,data_confidence,evidence_notes
w302074727,Бендеры,,улица Сергея Ревенялэ,13,46.82092,29.46484,4.969,,expected_km_osrm,4.969,0.0,CITY_ALL_IN,,4.969,29.81,29.81,24.81,19.38,24.81,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074728,Бендеры,,улица Старого,2,46.82074,29.46505,4.972,,expected_km_osrm,4.972,0.0,CITY_ALL_IN,,4.972,29.83,29.83,24.83,19.39,24.83,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074735,Бендеры,,улица Сергея Ревенялэ,11,46.82124,29.46493,4.929,,expected_km_osrm,4.929,0.0,CITY_ALL_IN,,4.929,29.57,29.57,24.57,19.22,24.57,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074736,Бендеры,,улица Сергея Ревенялэ,9,46.82142,29.46502,4.944,,expected_km_osrm,4.944,0.0,CITY_ALL_IN,,4.944,29.66,29.66,24.66,19.28,24.66,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074738,Бендеры,,улица Сергея Ревенялэ,7,46.8217,29.4651,5.038,,expected_km_osrm,5.038,0.0,CITY_ALL_IN,,5.038,30.23,30.23,25.23,19.65,25.23,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074740,Бендеры,,улица Сергея Ревенялэ,5,46.82209,29.46518,4.994,,expected_km_osrm,4.994,0.0,CITY_ALL_IN,,4.994,29.96,29.96,24.96,19.47,24.96,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074741,Бендеры,,улица Сергея Ревенялэ,3,46.82231,29.46526,5.008,,expected_km_osrm,5.008,0.0,CITY_ALL_IN,,5.008,30.05,30.05,25.05,19.53,25.05,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074745,Бендеры,,улица Бородина,7,46.82393,29.46348,4.894,,expected_km_osrm,4.894,0.0,CITY_ALL_IN,,4.894,29.36,29.36,24.36,19.08,24.36,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074746,Бендеры,,Треугольный переулок,5,46.82416,29.46362,4.938,,expected_km_osrm,4.938,0.0,CITY_ALL_IN,,4.938,29.63,29.63,24.63,19.26,24.63,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074747,Бендеры,,Треугольный переулок,11,46.82412,29.46379,4.952,,expected_km_osrm,4.952,0.0,CITY_ALL_IN,,4.952,29.71,29.71,24.71,19.31,24.71,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074748,Бендеры,,Треугольный переулок,9,46.82407,29.46398,4.968,,expected_km_osrm,4.968,0.0,CITY_ALL_IN,,4.968,29.81,29.81,24.81,19.38,24.81,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
w302074749,Бендеры,,Треугольный переулок,7,46.824,29.46416,4.983,,expected_km_osrm,4.983,0.0,CITY_ALL_IN,,4.983,29.9,29.9,24.9,19.43,24.9,3,CITY_OWNER_ASSUMPTION,outside_city_km=0 by city doctrine; taxi = owner assumption
