address_id,territory,street,house_number,lat,lon,source_object_type,normalized_object_type,deliverable_address_status,exclusion_reason,manual_review_required
n2321749486,Гиска,Госпитальная улица,14а,46.78663,29.45472,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749487,Гиска,улица Ленина,15,46.78534,29.44548,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749488,Гиска,улица Курило,13,46.78493,29.44516,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749489,Гиска,улица Курило,20,46.78514,29.44474,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749490,Гиска,улица Курило,2,46.78396,29.44374,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749491,Гиска,улица Курило,1,46.78373,29.4441,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749492,Гиска,улица Ленина,100,46.78313,29.44482,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749493,Гиска,улица Ленина,102,46.78265,29.44423,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749494,Гиска,улица Бориса Главана,89,46.78319,29.44575,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321749495,Гиска,улица Бориса Главана,91,46.78284,29.44533,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321833111,Бендеры,улица Толстого,21,46.82686,29.45683,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321834521,Бендеры,улица Лермонтова,18,46.82613,29.45531,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321834524,Бендеры,улица Лермонтова,39,46.82494,29.45611,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321834527,Бендеры,улица Лермонтова,38,46.82484,29.45579,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321834534,Бендеры,улица Лермонтова,41,46.82454,29.45619,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n2321855312,Бендеры,улица Лермонтова,56,46.82301,29.45618,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321855313,Бендеры,улица Лермонтова,60,46.82264,29.45609,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321855335,Бендеры,улица Добродеева,37,46.82328,29.45562,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321855336,Бендеры,улица Добродеева,35,46.8232,29.45597,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321951516,Бендеры,улица Старого,40,46.82273,29.45514,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321951519,Бендеры,Гербовецкая улица,43,46.82272,29.45425,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321951523,Бендеры,улица Чехова,30,46.82165,29.45484,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2321993999,Бендеры,Путейская улица,2,46.82025,29.46522,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n2321994003,Бендеры,улица Тургенева,1,46.82034,29.46409,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n2321994021,Бендеры,улица Бородина,17,46.82298,29.46282,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n2321994025,Бендеры,переулок Бородина,9,46.82312,29.46493,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107937,Бендеры,Киевская улица,43,46.81817,29.46011,standalone_address_node,ADDRESS_NODE_WITHOUT_BUILDING_TYPE,UNKNOWN_REQUIRES_REVIEW,source_does_not_identify_a_building,True
n2322107940,Бендеры,улица Ивана Шимкова,2,46.83551,29.46505,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107942,Бендеры,улица Ивана Шимкова,22,46.83454,29.46469,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107948,Бендеры,Фонтанная улица,8,46.83582,29.46384,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107950,Бендеры,Фонтанная улица,22,46.83483,29.46351,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107952,Бендеры,Фонтанная улица,35,46.83424,29.46363,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107953,Бендеры,Фонтанная улица,41,46.83372,29.46338,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107954,Бендеры,Фонтанная улица,24,46.83425,29.46325,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107955,Бендеры,Фонтанная улица,36,46.83279,29.46284,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107956,Бендеры,Фонтанная улица,59,46.83293,29.46324,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322107957,Бендеры,улица Герцена,1,46.8361,29.46313,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322112853,Бендеры,улица Герцена,17,46.83505,29.46276,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322112854,Бендеры,улица Богдана Хмельницкого,2,46.83465,29.46313,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322118077,Бендеры,улица 12 Октября,16,46.83299,29.46249,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322118089,Бендеры,улица 12 Октября,86,46.84181,29.46063,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322916164,Бендеры,Садовая улица,71,46.8133,29.48593,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322916165,Бендеры,Садовая улица,73,46.813,29.48597,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322975402,Бендеры,улица Пушкина,66,46.81764,29.47154,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2322975403,Бендеры,улица Горького,7,46.81753,29.47135,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323031531,Бендеры,Коммунистическая улица,138,46.81578,29.47444,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
n2323051089,Бендеры,улица Калинина,59,46.82018,29.47862,addressed_residential_building,RESIDENTIAL_BUILDING,DELIVERABLE,,False
