uid,address,territory,status,canonical_route_km,route_km,route_km_duration_opt,straight_km,crosses_checkpoint,external_km,base_price,external_surcharge,reference_price,internal_zone,routing_status,old_k4_zone_id
w291431957,"Бендеры, Советская улица, 57",Бендеры,routed,0.864,0.8643,0.8643,0.646,False,0.0,14.0,0.0,14.0,1,routed,1
w291432103,"Бендеры, Почтовый переулок, 19",Бендеры,routed,1.108,1.1084,1.1084,0.354,False,0.0,14.0,0.0,14.0,1,routed,1
w291432267,"Бендеры, улица Гагарина, 8",Бендеры,routed,0.892,0.8918,0.8918,0.241,False,0.0,14.0,0.0,14.0,1,routed,1
w291432269,"Бендеры, улица Гагарина, 12",Бендеры,routed,0.809,0.8092,0.8092,0.255,False,0.0,14.0,0.0,14.0,1,routed,1
w291432271,"Бендеры, улица Гагарина, 16",Бендеры,routed,0.771,0.771,0.771,0.272,False,0.0,14.0,0.0,14.0,1,routed,1
w291432273,"Бендеры, улица Гагарина, 42",Бендеры,routed,0.702,0.7026,0.7026,0.262,False,0.0,14.0,0.0,14.0,1,routed,1
w291432274,"Бендеры, улица Гагарина, 42А",Бендеры,routed,0.719,0.7188,0.7188,0.249,False,0.0,14.0,0.0,14.0,1,routed,1
w291432277,"Бендеры, улица Гагарина, 38",Бендеры,routed,0.75,0.7501,0.7501,0.286,False,0.0,14.0,0.0,14.0,1,routed,1
w291721549,"Бендеры, Советская улица, 59",Бендеры,routed,1.021,0.8773,0.8773,0.659,False,0.0,14.0,0.0,14.0,1,routed,1
w291721550,"Бендеры, Советская улица, 61",Бендеры,routed,1.001,1.001,1.001,0.679,False,0.0,14.0,0.0,14.0,1,routed,1
w291721551,"Бендеры, Советская улица, 63",Бендеры,routed,0.986,0.9861,0.9861,0.694,False,0.0,14.0,0.0,14.0,1,routed,1
w291721552,"Бендеры, улица Кавриаго, 23",Бендеры,routed,0.92,0.9207,0.9207,0.712,False,0.0,14.0,0.0,14.0,1,routed,1
w291721553,"Бендеры, улица Калинина, 65",Бендеры,routed,0.964,0.9634,0.9634,0.623,False,0.0,14.0,0.0,14.0,1,routed,1
w291721558,"Бендеры, улица Кавриаго, 56",Бендеры,routed,0.743,0.7433,0.7433,0.652,False,0.0,14.0,0.0,14.0,1,routed,1
w291721560,"Бендеры, улица Кавриаго, 58",Бендеры,routed,0.759,0.759,0.759,0.667,False,0.0,14.0,0.0,14.0,1,routed,1
w291721562,"Бендеры, улица Кавриаго, 62",Бендеры,routed,0.784,0.7836,0.7836,0.692,False,0.0,14.0,0.0,14.0,1,routed,1
w291721567,"Бендеры, улица Калинина, 69",Бендеры,routed,0.979,0.9794,0.9794,0.64,False,0.0,14.0,0.0,14.0,1,routed,1
w291721568,"Бендеры, улица Калинина, 63",Бендеры,routed,0.95,0.9502,0.9502,0.61,False,0.0,14.0,0.0,14.0,1,routed,1
w292041218,"Бендеры, Советская улица, 39",Бендеры,routed,0.583,0.5829,0.5829,0.263,False,0.0,14.0,0.0,14.0,1,routed,1
w292041225,"Бендеры, улица Кавриаго, 109",Бендеры,routed,0.878,0.878,0.878,0.793,False,0.0,14.0,0.0,14.0,1,routed,1
w292041227,"Бендеры, переулок Суворова, 113",Бендеры,routed,0.995,0.9952,0.9952,0.862,False,0.0,14.0,0.0,14.0,1,routed,1
w292041229,"Бендеры, Комсомольская улица, 76",Бендеры,routed,1.189,1.1887,1.1887,0.614,False,0.0,14.0,0.0,14.0,1,routed,1
w292101885,"Бендеры, Первомайская улица, 57",Бендеры,routed,1.282,1.2819,1.2819,1.125,False,0.0,14.0,0.0,14.0,1,routed,1
w292101887,"Бендеры, переулок Суворова, 2",Бендеры,routed,1.059,1.0589,1.0589,0.897,False,0.0,14.0,0.0,14.0,1,routed,1
w292101890,"Бендеры, Советская улица, 73",Бендеры,routed,1.149,1.1487,1.1487,0.943,False,0.0,14.0,0.0,14.0,1,routed,1
w292101891,"Бендеры, переулок Суворова, 6",Бендеры,routed,1.007,1.0068,1.0068,0.894,False,0.0,14.0,0.0,14.0,1,routed,1
w292101892,"Бендеры, переулок Суворова, 4",Бендеры,routed,1.035,1.0359,1.0359,0.898,False,0.0,14.0,0.0,14.0,1,routed,1
w292101894,"Бендеры, переулок Суворова, 64",Бендеры,routed,0.987,0.9874,0.9874,0.895,False,0.0,14.0,0.0,14.0,1,routed,1
w292460883,"Бендеры, Комсомольская улица, 91",Бендеры,routed,0.659,0.6593,0.6593,0.574,False,0.0,14.0,0.0,14.0,1,routed,1
w292460884,"Бендеры, Комсомольская улица, 93",Бендеры,routed,0.678,0.6782,0.6782,0.593,False,0.0,14.0,0.0,14.0,1,routed,1
w292900977,"Бендеры, улица Дзержинского, 57",Бендеры,routed,1.632,1.631,1.631,1.068,False,0.0,14.0,0.0,14.0,1,routed,1
w292900978,"Бендеры, улица Дзержинского, 59",Бендеры,routed,1.651,1.6503,1.6503,1.078,False,0.0,14.0,0.0,14.0,1,routed,1
w292900980,"Бендеры, улица Дзержинского, 61",Бендеры,routed,1.719,1.7184,1.7184,1.097,False,0.0,14.0,0.0,14.0,1,routed,1
w293173067,"Бендеры, улица Дзержинского, 65",Бендеры,routed,1.737,1.7375,1.7375,1.145,False,0.0,14.0,0.0,14.0,1,routed,1
w293173072,"Бендеры, улица Дзержинского, 67",Бендеры,routed,1.866,1.8656,1.8656,1.168,False,0.0,14.0,0.0,14.0,1,routed,1
